Citation,DOI,Key findings,Effect size,Study basis,Year,Constraints,Study type,Geographic focus,Key words,pos/nev(0/1),year/posnev
"P.K. de Silva et al. (2024). ""Eurasian otter (Lutra lutra) diet and its trophic implications on freshwater systems in the UK and Ireland""",Not available,"Otters face risks from degraded water quality due to agricultural runoff, microplastics, and heavy metal contamination, reducing prey populations by up to 30% in some sites. Indirect links between reduced fish biomass and increased mortality rates were observed.",Fish biomass reduction: ~30% in degraded habitats,Diet,2024,Focused on ecological impacts; direct mortality data was not collected.,Review,UK,"Habitat degradation, pollution, prey depletion",0,4
"H.-S. Cho, K.-H. Choi, S.-D. Lee, Y.-S. Park (2009). ""Characterizing habitat preference of Eurasian river otter (Lutra lutra) in streams using a self-organizing map""",10.1007/s10201-009-0275-7,"Habitat degradation (e.g., canalisation, dredging) reduced otter spraint counts significantly. Human disturbances such as roads and residential areas were tolerated to some extent.",Spraint counts 45% lower in canalised areas; human interference was tolerated near roads and residences in some cases.,Habitat,2009,Focus on indirect mortality due to habitat changes; no direct mortality observations.,Field Study,South Korea,"Habitat degradation, canalisation, human disturbance",0,4
"A. Tolrà, J. Ruiz-Olmo, J.L. Riera (2009). ""Human disturbance and habitat structure drive Eurasian otter habitat selection in heavily anthropized river basins""",10.1007/s10531-024-02826-9,"Otters were affected by human accessibility, which was the most significant human disturbance variable for habitat selection. Roads were less impactful unless they increased human activity.",Human accessibility negatively affected otter reproduction and habitat selection.,Habitat,2009,Focused on two heavily anthropized basins; limited to central Europe.,Field Study,Spain,"Human disturbance, roads, accessibility",0,4
"C.K. Philcox, A.L. Grogan, & D.W. Macdonald (1999). ""Patterns of Otter Lutra lutra Road Mortality in Britain""",10.2307/2655947,"Road traffic accidents account for a significant proportion of otter mortality, especially near watercourses. 91% of casualties occurred at or near river crossings, and A-roads/trunk roads were responsible for 57% of incidents.",91% of casualties at river crossings; 57% of deaths on A/trunk roads.,Roadkill,1999,Limited to recorded cases; unreported road deaths may underestimate total mortality.,Observational Study,UK,"Otter, road mortality, river crossings, traffic accidents",0,2
"Copp, G.H., & Roche, K. (2003). ""Range and diet of Eurasian otters (Lutra lutra) in the catchment of the River Lee (south-east England) since re-introduction.""",10.1002/aqc.558,The study does not focus on mortality factors but notes that at least one otter died during the study period.,Not quantified.,Diet,2003,Mortality data is incidental; the study primarily addresses range and diet.,Observational Study,UK,"Otter, re-introduction, mortality",1,3
"Macarthur, J.A. (2022). ""What is an otter’s favourite food? – A molecular investigation into the dietary preferences of the Eurasian otter (Lutra lutra) across the River Hull Catchment""",Not applicable (Dissertation),"Limited prey availability in some river sections could stress populations, potentially leading to indirect impacts on survival and reproduction.",Prey scarcity could amplify competition for resources in affected areas.,Habitat,2022,Focused on dietary data; no direct mortality observations included.,Master’s dissertation,UK,"Otter, prey availability, population stress",0,4
"Bedford, S.J. (2009). ""The effects of riparian habitat quality and biological water quality on the European Otter (Lutra lutra) in Devon.""",10.1093/biohorizons/hzp015,"Poor riparian habitat and low biological water quality could lead to reduced prey availability, indirectly impacting otter survival and reproduction.",Poor QBR and BMWP scores correlated with reduced otter presence.,Habitat,2009,Study focused on habitat and water quality as indirect factors; no direct mortality observations.,Field Study,UK,"Otter, mortality risks, riparian zones, water quality",0,4
"Mirzaei, R., Karami, M., Danehkar, A., & Abdoli, A. (2009). ""Habitat quality assessment for the Eurasian otter (Lutra lutra) on the River Jajrood, Iran""",Not available,"Habitat degradation, including river canalisation and tourism, significantly reduced otter habitat suitability and availability.",Canalised stretches had poor habitat scores; tourism pressure high in spring/summer.,Habitat,2009,Study focused on indirect impacts; no direct mortality data included.,Field Study,Iran,"Otter, habitat degradation, tourism, canalisation",0,4
"Prenda, J., López-Nieves, P., & Bravo, R. (2001). ""Conservation of otter (Lutra lutra) in a Mediterranean area: the importance of habitat quality and temporal variation in water availability.""",10.1002/aqc.454,"Water scarcity during drought periods reduces otter habitats, forcing population concentration and increasing mortality risks.",Drought periods linked to food shortages and elevated territorial behaviour.,Habitat,2001,Focused on indirect mortality during environmental stress; no direct mortality data.,Observational Study,Spain,"Otter, mortality, drought, habitat reduction",0,4
"Reid, N., Thompson, D., Hayden, B., Marnell, F., Montgomery, W.I. (2012). ""Review and quantitative meta-analysis of diet suggests the Eurasian otter (Lutra lutra) is likely to be a poor bioindicator.""",10.1016/j.ecolind.2012.10.017,Declines in otter populations are associated with reductions in fish prey and habitat degradation due to eutrophication and pesticide bioaccumulation.,Indirect mortality linked to prey loss and environmental contamination.,Habitat + Diet,2012,Focused on diet and habitat use; no direct mortality rates provided.,Meta-analysis,UK,"Otter, mortality risks, prey loss, eutrophication",0,4
