Citation,DOI,Key findings,Efect size,Study basis,Year,Constraints,Study type,Geographic focus,Key words,pos/nev(0/1),year/posnev
"K. Grant & L. Harrington (2015). ""Fish selection by riverine Eurasian otters in lowland England""",10.1007/s13364-015-0223-3,"Otters primarily consumed slow-swimming fish like bullheads, reflecting prey availability and habitat use. Seasonal shifts observed.",Fish: 46% RFO in diet,Prey Availability,2015,Focused on two rivers; findings may not apply to other habitats.,Field Study,UK,"Habitat use, prey availability, seasonal feeding",1,3
"P.K. de Silva et al. (2024). ""Eurasian otter (Lutra lutra) diet and its trophic implications on freshwater systems in the UK and Ireland""",Not available,"Otters utilise freshwater systems for prey such as fish, crustaceans, and amphibians. They adapt to prey availability and habitat conditions. Seasonal variation observed in diet composition.",Diet: Primarily fish,Prey Availability + Water Quality,2024,Focused on specific sites in the UK and Ireland; generalisation may be limited.,Review,UK,"Habitat use, prey availability, seasonal feeding",1,4
"H.-S. Cho, K.-H. Choi, S.-D. Lee, Y.-S. Park (2009). ""Characterizing habitat preference of Eurasian river otter (Lutra lutra) in streams using a self-organizing map""",10.1007/s10201-009-0275-7,"Otters preferred shallow, narrow streams with natural banks and high vegetation cover. Stream width of 2–5m and depth under 0.5m were most used.",Spraint counts highest in 2–5m wide streams; significant preference for >50% vegetation cover.,Habitat Structure,2009,Study limited to two streams in Korea; seasonal variations were not explored fully.,Field Study,South Korea,"Habitat use, stream width, vegetation, natural banks",1,4
"A. Tolrà, J. Ruiz-Olmo, J.L. Riera (2009). ""Human disturbance and habitat structure drive Eurasian otter habitat selection in heavily anthropized river basins""",10.1007/s10531-024-02826-9,"Otters preferred habitats with high structural complexity, including features like riverbank refuges, large woody debris, and pools. River reaches with high aquatic vegetation and low water velocity were also preferred.",Habitat use intensity increased by 30% in structurally complex river reaches.,Habitat Structure + Human Disturbance,2009,Fine-scale habitat preferences focused on heavily disturbed rivers.,Field Study,Spain,"Habitat structure, aquatic vegetation, woody debris",1,4
"Almeida, D., & Copp, G. H. (2012). ""Changes in the diet of a recovering Eurasian otter population between the 1970s and 2010""",10.1002/aqc.1241,"Otters exhibited varied diet compositions across different habitats, with specific prey types associated with ponds, retenus, and stream sections.","Northern pike remains were found in spraints from ponds and retenus, while European eel and gudgeon were prominent in stream sections.",Prey Availability,2012,Study limited to the River Glaven catchment; habitat-specific findings may not be generalizable.,Observational Study,Uk,"Otter, diet, habitat utilisation, prey species",1,3
"Copp, G.H., & Roche, K. (2003). ""Range and diet of Eurasian otters (Lutra lutra) in the catchment of the River Lee (south-east England) since re-introduction.""",10.1002/aqc.558,"Otters expanded their range post-reintroduction, utilizing various habitats within the River Lee catchment.",Range expansion observed over eight years post-reintroduction.,Habitat Connectivity,2003,Study limited to the River Lee catchment; findings may not be generalizable.,Observational Study,UK,"Otter, habitat utilisation, range expansion",1,3
"Parry, G.S., Burton, S., Cox, B., & Forman, D.W. (2010). ""Diet of coastal foraging Eurasian otters (Lutra lutra L.) in Pembrokeshire, south-west Wales.""",10.1007/s10344-010-0457-y,"Otters extensively used coastal habitats, consuming both marine and freshwater prey throughout the year. Diet composition varied seasonally.",Marine prey formed 55.7% of diet by RFO%; freshwater prey constituted 29.3%.,Coastal vs Freshwater Habitat,2010,Limited to Pembrokeshire coastal sites; inland habitat use not fully explored.,Field Study,Uk,"Otter, habitat use, coastal foraging, diet composition",1,3
"Macarthur, J.A. (2022). ""What is an otter’s favourite food? – A molecular investigation into the dietary preferences of the Eurasian otter (Lutra lutra) across the River Hull Catchment""",Not applicable (Dissertation),Otters utilise river sections with high fish diversity. Alpha diversity of prey species was highest in the middle section of the River Hull.,Prey alpha diversity: 3.15 species per spraint in middle section.,Prey Availability,2022,Results may not generalise to other rivers; based on local prey analysis.,Master’s dissertation,Uk,"Habitat use, prey diversity, molecular analysis",1,4
"Bedford, S.J. (2009). ""The effects of riparian habitat quality and biological water quality on the European Otter (Lutra lutra) in Devon.""",10.1093/biohorizons/hzp015,Rivers with otter presence had significantly higher riparian habitat quality scores compared to those without otters.,QBR scores were significantly higher in otter-inhabited rivers.,Water Quality,2009,Focused on rivers in Devon; may not generalise to other regions.,Field Study,UK,"Otter, habitat quality, riparian zones, QBR index",1,4
"Mirzaei, R., Karami, M., Danehkar, A., & Abdoli, A. (2009). ""Habitat quality assessment for the Eurasian otter (Lutra lutra) on the River Jajrood, Iran""",Not available,Downstream stretches with higher vegetation cover and water quality were most suitable for otters. Upstream stretches showed low habitat suitability.,25-30% of the river was classified as suitable for otters.,Habitat Structure + Water Quality,2009,Focused on a single river system; broader applicability uncertain.,Field Study,Iran,"Habitat use, riparian vegetation, water quality",0,4
"Prenda, J., López-Nieves, P., & Bravo, R. (2001). ""Conservation of otter (Lutra lutra) in a Mediterranean area: the importance of habitat quality and temporal variation in water availability.""",10.1002/aqc.454,"Otters prefer streams with high bankside vegetation cover, low human disturbance, and good water quality. Habitat range expanded during rainy years.",Positive correlation between habitat quality and otter presence (R² = 61.5%).,Habitat Connectivity + Seasonal Habitat Use,2001,Focused on Mediterranean habitats; results may not generalize to temperate climates.,Observational Study,Spain,"Otter, habitat quality, water availability, vegetation cover",1,2
"Reid, N., Thompson, D., Hayden, B., Marnell, F., Montgomery, W.I. (2012). ""Review and quantitative meta-analysis of diet suggests the Eurasian otter (Lutra lutra) is likely to be a poor bioindicator.""",10.1016/j.ecolind.2012.10.017,"Otters displayed habitat-specific dietary variation, with significant differences between riverine, lacustrine, and coastal habitats. Coastal habitats showed the greatest niche breadth.",Coastal otters displayed broader dietary niches compared to riverine otters (Axis 1 explained 92.1% of variation).,Prey Availability,2012,Habitat variation was limited to Irish ecosystems; applicability elsewhere is inferred.,Meta-analysis,UK,"Otter, habitat use, niche breadth, dietary variation",1,3
