Citation,DOI,Key findings,Effect size,Study basis,Year,Constraints,Study type,Geographic focus,Key words,pos/nev(0/1),year/posnev
"K. Grant & L. Harrington (2015). ""Fish selection by riverine Eurasian otters in lowland England""",10.1007/s13364-015-0223-3,"Fish of commercial value (e.g., cyprinids) made up 19% of the diet; perch were preferred over cyprinids. Highlights the need for habitat diversity and water quality.",19% of diet as valuable fish,Diet,2015,Seasonal variations; limited data on stillwater fisheries.,Field Study,Uk,"Conservation, prey preference, fisheries impact",1,4
"P.K. de Silva et al. (2024). ""Eurasian otter (Lutra lutra) diet and its trophic implications on freshwater systems in the UK and Ireland""",Not available,"Conservation measures focused on restoring prey-rich habitats improved fish biomass by ~20% in monitored areas, supporting otter population recovery. Reduced pollution levels led to visible increases in otter spraint sites in restored habitats.",Fish biomass recovery: ~20%,Habitat + Prey Availability,2024,Site-specific outcomes not compared across regions; limited quantitative assessments.,Review,UK,"Water quality, habitat restoration, prey protection",1,4
"H.-S. Cho, K.-H. Choi, S.-D. Lee, Y.-S. Park (2009). ""Characterizing habitat preference of Eurasian river otter (Lutra lutra) in streams using a self-organizing map""",10.1007/s10201-009-0275-7,"Maintaining natural banks and high vegetation cover improves otter habitat suitability. Weirs supported food availability by gathering fish, enhancing habitat quality.",Spraint counts 6.67 at weirs compared to 2.29 in natural conditions; qualitative preference for natural features.,Habitat,2009,Focused on habitat management; limited information on broader conservation efforts.,Field Study,South Korea,"Habitat conservation, natural banks, weirs",1,3
"A. Tolrà, J. Ruiz-Olmo, J.L. Riera (2009). ""Human disturbance and habitat structure drive Eurasian otter habitat selection in heavily anthropized river basins""",10.1007/s10531-024-02826-9,"Conservation strategies should focus on preserving structurally complex habitats, including riverbank refuges and pools. Minimising human accessibility in key breeding areas is critical.",Riverbank refuges and large woody debris significantly increased breeding site probability.,Habitat,2009,Recommendations are tailored to highly urbanised river basins; limited applicability to pristine areas.,Field study,Spain,"Conservation, habitat complexity, breeding sites",1,3
"J.A. Macarthur (2022). ""What is an otter’s favourite food? – A molecular investigation into the dietary preferences of the Eurasian otter (Lutra lutra) across the River Hull Catchment""",Not applicable (Dissertation),The study underscores the importance of maintaining fish diversity in the River Hull and addressing barriers to fish migration to support otter populations.,Selective preference for European bullhead (~30% of diet across sections).,Diet + Habitat,2022,Site-specific recommendations; implications for broader conservation are inferred.,Molecular Study,UK,"Conservation, fish migration, prey diversity",1,4
"Almeida, D., & Copp, G. H. (2012). ""Changes in the diet of a recovering Eurasian otter population between the 1970s and 2010""",10.1002/aqc.1241,"The study highlights the otter's dietary adaptability, suggesting that conservation efforts should consider the availability of diverse prey species to support otter populations.","Increased consumption of crayfish, brown trout, cyprinids, perch, birds, and mammals; decreased consumption of eel and threespine stickleback since the 1970s.",Diet + Habitat,2012,Findings are specific to the River Glaven catchment; broader conservation implications are inferred.,Observational Study,UK,"Otter, diet, conservation, prey availability",1,4
"C.K. Philcox, A.L. Grogan, & D.W. Macdonald (1999). ""Patterns of Otter Lutra lutra Road Mortality in Britain""",10.2307/2655947,"Redesigning road crossings (e.g., wide-span bridges and culverts with ledges) can reduce otter mortality. Fencing near high-risk roads may be effective if integrated with wildlife passages.",Improved river crossings reduced casualties by up to 50% in some areas.,Roadkill Prevention,1999,Recommendations focused on high-risk areas near watercourses.,Observational Study,UK,"Conservation, road crossings, wildlife fencing",1,2
"Copp, G.H., & Roche, K. (2003). ""Range and diet of Eurasian otters (Lutra lutra) in the catchment of the River Lee (south-east England) since re-introduction.""",10.1002/aqc.558,"The reintroduction of captive-bred otters led to a persistent population over eight years, indicating successful establishment.",Otters detected throughout the study period; range expansion noted.,Reintroduction,2003,Success attributed to specific local conditions; broader applicability may vary.,Observational Study,UK,"Otter, reintroduction, conservation success",1,3
"Parry, G.S., Burton, S., Cox, B., & Forman, D.W. (2010). ""Diet of coastal foraging Eurasian otters (Lutra lutra L.) in Pembrokeshire, south-west Wales.""",10.1007/s10344-010-0457-y,Conservation efforts should focus on safeguarding both marine and freshwater habitats to ensure access to diverse prey resources.,Amphibians and marine fish are critical prey during breeding seasons.,Habitat + Diet,2010,Recommendations specific to coastal ecosystems; broader applicability uncertain.,Field study,UK,"Otter, conservation, marine habitats, prey diversity",1,3
"Bedford, S.J. (2009). ""The effects of riparian habitat quality and biological water quality on the European Otter (Lutra lutra) in Devon.""",10.1093/biohorizons/hzp015,Conservation strategies should enhance riparian vegetation and improve water quality indices to support otter populations.,BMWP scores indicated significantly better biological water quality in otter-inhabited rivers.,Habitat + Water Quality,2009,Limited to riparian and biological water quality; excludes other potential factors.,Field Study,UK,"Otter, conservation, biological water quality, riparian zones",1,3
