"record_id","scientific_name","common_name","vitality","osgr_1km","latitude","longitude","country","start_date_year"
"ff93bcf2-e857-4057-85e3-9689865198c8","Lutra lutra","Eurasian Otter","dead","TM3588",52.44,1.46,"United Kingdom",2015
"fdc92f33-6f2d-4e95-96d4-12ce87286603","Lutra lutra","Eurasian Otter","dead","NT8843",55.68,-2.18,"United Kingdom",2018
"fd248102-9438-493c-93e9-70272dc053e7","Lutra lutra","Eurasian Otter","dead","ST7660",51.34,-2.34,"United Kingdom",2017
"fc9771a1-5565-446f-97c2-b30fea37e283","Lutra lutra","Eurasian Otter","dead","SP1800",51.7,-1.74,"United Kingdom",2014
"fc4be255-0e8d-4414-b836-65c2145ee647","Lutra lutra","Eurasian Otter","dead","ST6778",51.51,-2.47,"United Kingdom",2017
"fb4a124a-265d-4509-945e-27c91951ffd4","Lutra lutra","Eurasian Otter","dead","SH7950",53.04,-3.81,"United Kingdom",2016
"faebad6d-3527-4ec7-8810-56c7198b0e63","Lutra lutra","Eurasian Otter","dead","SJ1424",52.81,-3.27,"United Kingdom",2015
"fa3f3a72-cfbb-447b-a8ce-a5586c8ca5ec","Lutra lutra","Eurasian Otter","dead","NS7356",55.78,-4.02,"United Kingdom",2016
"f90a6680-96b4-4803-9bc1-6cdf3600e0c5","Lutra lutra","Eurasian Otter","dead","SN4104",51.72,-4.3,"United Kingdom",2014
"f43eceeb-97d4-4946-beac-4db3ede57a73","Lutra lutra","Eurasian Otter","dead","SO7524",51.92,-2.36,"United Kingdom",2021
"f382bc06-4a90-402b-815c-00b563b36b10","Lutra lutra","Eurasian Otter","dead","NS6376",55.96,-4.19,"United Kingdom",2017
"efe0f377-6faa-490c-971c-b62571b3697b","Lutra lutra","Eurasian Otter","dead","NT4677",55.98,-2.85,"United Kingdom",2016
"ef19f0ce-dcf1-4fae-b001-b3caf618e5a4","Lutra lutra","Eurasian Otter","dead","SN8414",51.81,-3.68,"United Kingdom",2017
"e67c1a5a-0caa-4226-af90-e8e4b16654d8","Lutra lutra","Eurasian Otter","dead","SD5320",53.68,-2.7,"United Kingdom",2018
"e612a72e-c428-40c3-9716-9a9b25ae2729","Lutra lutra","Eurasian Otter","dead","SO7677",52.4,-2.35,"United Kingdom",2016
"e556b4b4-6b7e-4d37-ae36-f5807330b17a","Lutra lutra","Eurasian Otter","dead","NS7878",55.98,-3.94,"United Kingdom",2017
